date,time,lat,lon,depth,ML,fixed,quality
1990-11-12,0 days 14:55:00,24.1058,122.4906,17.91,4.21,N,C
1990-11-17,0 days 13:05:31,24.6665,122.455,6.74,4.72,N,C
1990-11-17,0 days 20:59:05,24.6731,122.4901,8.42,4.01,N,C
1990-11-20,0 days 15:01:39,21.456,121.06,68.88,4.71,N,C
1990-11-20,0 days 19:10:02,24.6681,122.517,8.77,4.1,N,C
1990-11-24,0 days 07:29:39,23.9941,121.6555,23.7,4.21,N,C
1990-11-24,0 days 12:12:35,22.1486,121.4993,0.25,4.29,N,C
1990-11-24,0 days 15:13:16,21.689,121.4655,88.97,4.13,N,C
1990-11-27,0 days 12:03:07,23.991,122.342,5.16,4.02,N,C
1990-11-28,0 days 11:32:50,22.992,121.3588,13.89,4.53,N,B
1990-12-01,0 days 16:53:18,24.6011,122.8291,10.4,4.26,N,C
1990-12-03,0 days 06:10:56,23.7015,123.6483,12.81,4.78,N,D
1990-12-03,0 days 08:49:59,24.1811,123.0318,19.09,4.04,N,C
1990-12-05,0 days 15:41:58,24.1968,120.1751,22.14,4.1,N,C
1990-12-08,0 days 10:49:43,24.9016,121.9188,88.7,4.57,N,C
1990-12-09,0 days 16:25:05,23.926,121.5305,5.63,4.42,N,C
1990-12-12,0 days 03:26:20,24.8495,124.8486,25.0,5.7,N,D
1990-12-12,0 days 03:55:18,23.8586,121.5708,11.33,4.95,N,B
1990-12-12,0 days 22:57:59,22.9255,122.439,13.19,4.36,N,C
1990-12-13,0 days 03:01:48,23.8795,121.5481,2.82,5.6,N,C
1990-12-13,0 days 03:07:21,23.9253,121.6728,0.89,4.64,N,C
1990-12-13,0 days 03:12:07,23.8968,121.6193,11.1,4.08,N,C
1990-12-13,0 days 04:12:20,23.8996,121.6336,0.3,4.27,N,C
1990-12-13,0 days 05:34:21,23.8063,121.5445,0.54,4.49,N,C
1990-12-13,0 days 06:02:56,23.8693,121.6058,1.13,4.49,N,C
1990-12-13,0 days 06:09:42,23.8531,121.5988,1.5,4.11,N,C
1990-12-13,0 days 06:28:19,23.878,121.5796,1.23,4.21,N,C
1990-12-13,0 days 08:22:31,23.8955,121.5896,1.0,4.16,N,C
1990-12-13,0 days 08:37:30,23.7873,121.5793,1.0,4.66,N,C
1990-12-13,0 days 16:04:48,23.8833,121.6163,0.79,4.12,N,C
1990-12-13,0 days 16:06:50,23.8935,121.6056,0.44,4.48,N,C
1990-12-13,0 days 16:10:21,23.8823,121.5963,0.67,4.05,N,C
1990-12-13,0 days 17:28:43,23.8468,121.5991,0.52,4.69,N,C
1990-12-13,0 days 18:08:11,23.8355,121.597,0.63,4.27,N,C
1990-12-13,0 days 19:50:19,23.7655,121.6273,1.26,5.97,N,C
1990-12-13,0 days 19:54:28,23.7718,121.517,2.23,4.27,N,C
1990-12-13,0 days 19:58:27,23.7725,121.603,15.07,4.88,N,C
1990-12-13,0 days 20:01:25,23.734,121.6375,8.56,4.21,N,C
1990-12-13,0 days 20:02:09,23.74,121.5633,1.5,4.42,N,C
1990-12-13,0 days 20:03:34,23.762,121.5785,3.16,4.02,N,C
1990-12-13,0 days 20:04:49,23.7781,121.5216,1.5,4.7,N,C
1990-12-13,0 days 20:06:56,23.7571,121.6305,1.19,4.52,N,C
1990-12-13,0 days 20:07:51,23.7676,121.5218,8.46,4.02,N,C
1990-12-13,0 days 20:14:28,23.872,121.5945,0.79,4.25,N,C
1990-12-13,0 days 20:16:23,23.8651,121.5801,1.24,4.58,N,C
1990-12-13,0 days 20:21:07,23.78,121.6321,1.98,4.71,N,C
1990-12-13,0 days 20:24:47,23.7905,121.4926,5.8,4.31,N,C
1990-12-13,0 days 20:28:11,23.8301,121.6083,1.62,5.03,N,C
1990-12-13,0 days 20:33:52,23.7736,121.6376,1.79,4.31,N,C
1990-12-13,0 days 20:34:25,23.7468,121.5491,1.6,4.12,N,C
1990-12-13,0 days 20:37:30,23.9103,121.5715,5.13,4.01,N,C
1990-12-13,0 days 20:38:58,23.8291,121.644,1.69,4.12,N,C
1990-12-13,0 days 20:39:27,23.7416,121.5118,1.42,4.31,N,C
1990-12-13,0 days 20:41:31,23.747,121.5723,1.5,4.08,N,C
1990-12-13,0 days 20:42:39,23.7498,121.5893,0.22,4.92,N,C
1990-12-13,0 days 20:44:39,23.7488,121.6071,2.01,4.49,N,C
1990-12-13,0 days 20:45:46,23.7595,121.6388,2.4,4.48,N,C
1990-12-13,0 days 20:50:56,23.7201,121.6105,0.48,4.44,N,C
1990-12-13,0 days 20:51:30,23.7208,121.67,13.61,4.16,N,C
1990-12-13,0 days 20:55:49,23.8801,121.6753,0.47,4.43,N,C
1990-12-13,0 days 20:57:51,23.7286,121.5598,9.25,4.27,N,C
1990-12-13,0 days 21:00:07,23.8023,121.576,1.48,4.89,N,C
1990-12-13,0 days 21:04:23,23.7748,121.5971,0.53,4.14,N,C
1990-12-13,0 days 21:05:11,23.7753,121.6131,1.96,4.63,N,C
1990-12-13,0 days 21:06:30,23.7878,121.5656,1.96,4.17,N,C
1990-12-13,0 days 21:06:54,23.7811,121.5821,1.12,4.44,N,C
1990-12-13,0 days 21:07:23,23.8028,121.5476,1.04,4.47,N,C
1990-12-13,0 days 21:10:38,23.7803,121.5698,2.47,4.43,N,C
1990-12-13,0 days 21:19:54,23.749,121.6206,1.82,4.22,N,C
1990-12-13,0 days 21:30:31,23.812,121.638,10.0,5.4,n,
1990-12-13,0 days 21:53:25,23.8755,121.6706,1.51,4.15,N,C
1990-12-13,0 days 21:56:39,23.7078,121.5596,1.82,4.81,N,C
1990-12-13,0 days 22:18:32,23.791,121.737,10.0,5.2,n,
1990-12-13,0 days 22:41:33,23.805,121.723,10.0,4.8,n,
1990-12-13,0 days 22:43:01,23.988,121.636,10.0,5.2,n,
1990-12-13,0 days 22:51:07,23.9055,121.6411,0.51,4.29,N,C
1990-12-13,0 days 22:52:22,23.743,121.566,0.68,4.52,N,C
1990-12-13,0 days 22:53:56,23.7528,121.542,2.37,4.17,N,C
1990-12-13,0 days 23:03:54,23.9263,121.5925,1.29,4.17,N,C
1990-12-13,0 days 23:11:09,23.7435,121.5868,1.0,4.52,N,C
1990-12-13,0 days 23:12:25,23.8275,121.5786,0.86,4.03,N,C
1990-12-13,0 days 23:19:00,23.7381,121.5571,1.95,5.17,N,C
1990-12-13,0 days 23:22:19,23.7881,121.5645,1.29,4.69,N,C
1990-12-13,0 days 23:23:24,23.7653,121.5218,2.11,4.12,N,C
1990-12-13,0 days 23:24:02,23.7531,121.7028,5.34,4.12,N,C
1990-12-13,0 days 23:28:05,23.8101,121.6375,1.71,5.05,N,C
1990-12-13,0 days 23:32:27,23.8221,121.66,1.19,4.4,N,C
1990-12-13,0 days 23:45:44,23.7456,121.5616,0.73,4.01,N,C
1990-12-13,0 days 23:46:06,23.7588,121.5131,1.61,4.13,N,C
1990-12-13,0 days 23:58:02,23.7991,121.6071,1.06,4.82,N,C
1990-12-14,0 days 00:33:21,23.7708,121.4991,0.86,4.23,N,C
1990-12-14,0 days 00:53:18,23.7613,121.5638,0.75,4.31,N,C
1990-12-14,0 days 01:20:51,23.8785,121.5945,6.02,4.11,N,C
1990-12-14,0 days 01:43:55,23.8436,121.5783,0.96,4.82,N,C
1990-12-14,0 days 01:46:36,23.8133,121.5946,2.32,4.07,N,C
1990-12-14,0 days 02:07:26,23.7378,121.6903,0.1,4.15,N,C
1990-12-14,0 days 02:09:53,23.8473,121.5971,1.12,4.15,N,C
1990-12-14,0 days 02:37:39,23.5953,121.6821,11.07,5.08,N,C
1990-12-14,0 days 02:50:39,23.7246,121.632,4.03,4.03,N,C
1990-12-14,0 days 03:13:54,23.9135,121.6496,0.42,4.69,N,C
1990-12-14,0 days 03:42:47,23.7115,121.537,0.81,4.01,N,C
1990-12-14,0 days 04:36:50,23.6788,121.5176,1.5,4.36,N,C
1990-12-14,0 days 04:55:31,23.8438,121.7151,1.04,5.09,N,C
1990-12-14,0 days 05:19:44,23.707,121.4818,0.83,4.21,N,C
1990-12-14,0 days 07:38:55,23.7876,121.6163,1.99,4.6,N,C
1990-12-14,0 days 07:42:47,23.7946,121.6165,0.69,4.85,N,C
1990-12-14,0 days 07:55:28,24.223,123.2035,13.09,4.22,N,C
1990-12-14,0 days 08:00:11,23.7235,121.5558,0.89,4.52,N,C
1990-12-14,0 days 08:02:25,23.6808,121.516,1.02,4.29,N,C
1990-12-14,0 days 09:33:28,23.8226,121.6026,2.69,4.14,N,C
1990-12-14,0 days 10:44:26,23.7295,121.5171,1.5,4.61,N,C
1990-12-14,0 days 11:56:15,23.7505,121.5565,0.31,4.67,N,C
1990-12-14,0 days 12:36:58,23.9333,121.5971,1.33,4.42,N,C
1990-12-14,0 days 13:05:33,23.7166,121.5971,1.63,4.03,N,C
1990-12-14,0 days 15:06:47,23.7698,121.6416,0.8,4.04,N,C
1990-12-14,0 days 17:23:33,23.8831,121.6686,1.28,4.42,N,C
1990-12-14,0 days 17:45:09,23.8003,121.6495,1.4,4.26,N,C
1990-12-14,0 days 17:56:24,23.7546,121.641,5.1,4.25,N,C
1990-12-14,0 days 21:30:24,23.7751,121.587,4.4,4.03,N,C
1990-12-15,0 days 00:24:12,23.7726,121.5826,0.19,4.19,N,C
1990-12-15,0 days 05:01:33,23.7361,121.5901,1.47,5.05,N,C
1990-12-15,0 days 05:06:41,23.7518,121.5566,2.64,4.52,N,C
1990-12-15,0 days 09:53:01,23.6795,121.561,1.45,4.69,N,C
1990-12-15,0 days 10:42:28,23.8236,121.5778,1.46,4.8,N,C
1990-12-15,0 days 11:01:17,23.8193,121.5436,0.98,4.47,N,C
1990-12-15,0 days 11:59:44,23.915,121.5971,0.18,4.57,N,C
1990-12-15,0 days 12:06:28,23.8801,121.6053,1.36,4.03,N,C
1990-12-16,0 days 05:15:45,23.768,121.5668,0.71,4.75,N,C
1990-12-16,0 days 08:14:32,23.8856,121.7081,1.35,4.11,N,C
1990-12-16,0 days 15:37:22,23.9091,121.5475,1.06,4.07,N,C
1990-12-16,0 days 22:43:01,23.8483,121.5913,1.89,4.36,N,C
1990-12-17,0 days 07:53:53,23.7578,121.5573,1.78,4.16,N,C
1990-12-18,0 days 01:24:55,20.2703,120.6961,45.67,5.64,N,D
1990-12-18,0 days 01:48:22,21.4501,121.1195,30.09,4.97,N,C
1990-12-18,0 days 04:39:13,23.8363,121.6038,1.84,4.79,N,C
1990-12-18,0 days 04:41:12,23.8703,121.612,1.4,4.03,N,C
1990-12-18,0 days 05:54:37,23.8496,121.6071,1.5,4.14,N,C
1990-12-18,0 days 21:37:36,23.7925,121.5758,3.28,4.17,N,C
1990-12-18,0 days 22:23:31,23.0483,122.89,15.96,4.19,N,C
1990-12-19,0 days 00:08:14,23.6621,121.3661,0.04,5.1,N,B
1990-12-19,0 days 00:20:26,23.671,121.5893,5.2,5.23,N,C
1990-12-19,0 days 01:34:54,23.6463,121.3686,1.18,4.06,N,B
1990-12-19,0 days 16:44:56,23.8835,121.596,0.28,4.16,N,C
1990-12-19,0 days 23:38:38,23.7328,121.5525,7.72,4.78,N,C
1990-12-19,0 days 23:45:27,23.7138,121.608,0.22,4.16,N,C
1990-12-19,0 days 23:48:28,23.7428,121.606,0.84,4.35,N,C
1990-12-19,0 days 23:51:00,23.6996,121.6271,1.86,4.51,N,C
1990-12-20,0 days 00:05:49,23.7463,121.5826,2.05,4.19,N,C
1990-12-20,0 days 01:49:58,23.7615,121.5428,2.8,4.1,N,C
1990-12-20,0 days 11:38:09,25.4803,124.911,230.9,5.09,N,C
1990-12-21,0 days 10:46:26,23.9448,121.6045,3.11,4.04,N,C
1990-12-25,0 days 09:54:52,23.7498,121.6251,4.2,4.64,N,C
1990-12-25,0 days 13:18:12,23.724,121.6363,3.71,4.57,N,C
1990-12-25,0 days 14:21:54,23.7691,121.571,2.04,5.01,N,C
1990-12-25,0 days 14:29:07,23.861,121.4326,1.03,4.02,N,C
1990-12-25,0 days 14:30:08,23.852,121.5141,1.5,4.44,N,C
1990-12-25,0 days 14:39:32,23.83,121.554,1.28,4.11,N,C
1990-12-25,0 days 14:42:33,23.8021,121.5423,0.74,4.13,N,C
1990-12-25,0 days 14:46:11,23.7888,121.5938,1.42,4.07,N,C
1990-12-25,0 days 15:05:51,23.7956,121.5885,0.14,4.14,N,C
1990-12-26,0 days 00:20:33,23.8165,121.433,0.32,4.13,N,B
1990-12-27,0 days 14:04:00,23.9078,121.7066,0.6,4.04,N,C
1990-12-28,0 days 02:50:23,23.7663,121.5491,1.48,4.45,N,C
1990-12-28,0 days 14:20:15,23.4008,125.0075,12.0,5.53,N,D
1990-12-29,0 days 16:43:10,23.8995,121.6458,1.49,4.53,N,C
1990-12-30,0 days 00:59:45,23.9008,121.5966,1.5,4.13,N,C
1990-12-30,0 days 10:31:17,23.944,121.86,10.0,5.5,n,
1990-12-30,0 days 12:43:01,23.7338,121.4705,14.94,4.04,N,C
1990-12-30,0 days 15:49:39,23.8655,121.7235,1.44,4.27,N,C
1990-12-30,0 days 15:53:40,19.6398,120.807,111.97,5.69,N,D
1990-12-31,0 days 20:33:08,23.638,125.8198,22.94,5.28,N,D
1991-01-25,0 days 09:06:53,24.2202,122.2958,29.89,4.15,N,C
1991-01-24,0 days 04:01:23,23.6575,121.308,1.5,4.17,N,C
1991-01-24,0 days 01:17:17,23.6712,121.3272,0.44,4.19,N,C
1991-01-23,0 days 22:19:05,24.2992,123.4093,8.46,4.49,N,C
1991-01-23,0 days 14:25:36,24.2953,123.1922,17.82,4.27,N,C
1991-01-22,0 days 07:16:17,24.7412,123.1837,109.44,4.2,N,C
1991-01-21,0 days 22:13:49,23.6405,121.3045,0.75,4.32,N,C
1991-01-21,0 days 18:19:25,23.6583,121.3525,3.68,4.04,N,C
1991-01-21,0 days 18:02:39,23.6395,121.359,2.85,5.1,N,C
1991-01-21,0 days 01:50:51,23.6553,121.3267,2.57,4.7,N,B
1991-01-21,0 days 00:16:15,25.0508,122.2925,200.19,4.42,N,D
1991-01-20,0 days 18:54:34,23.8632,121.55,24.16,5.05,N,B
1991-01-19,0 days 15:59:47,23.7017,121.2743,0.62,4.48,N,B
